test,number,frame,zero,partial,heavy
test3,35,9034,2,1,3
test3,36,9035,2,2,3
test3,37,9036,3,2,1
test3,38,9037,3,1,2
test3,39,9038,2,1,3
test3,40,9039,2,2,2
test3,41,9040,2,1,3
test3,42,9041,2,1,3
test3,43,9042,3,,3
test3,44,9043,2,2,2
test3,45,9044,1,1,3
test3,46,9045,2,2,2
test3,47,9046,1,2,3
test3,48,9047,2,1,3
test3,49,9048,2,1,3
test3,50,9049,5,1,
test3,51,9050,5,1,
test3,52,9051,4,1,
test3,53,9052,5,,
test3,54,9053,5,,
test3,55,9054,4,1,
test3,56,9055,4,,1
test3,57,9056,5,,
test3,58,9057,4,1,
test3,59,9058,3,3,
test3,60,9059,3,3,
test3,61,9060,2,3,1
test3,62,9061,3,1,2
test3,63,9062,,6,
test3,64,9063,3,1,2
test3,65,9064,3,1,2
test3,66,9065,1,3,2
test3,67,9066,2,4,
test3,68,9067,1,2,6
test3,69,9068,1,4,4
test3,70,9069,1,2,6
test3,71,9070,1,3,2
test3,72,9071,1,3,2
test3,73,9072,1,2,3
test3,74,9073,2,2,2
test3,75,9074,2,2,3
test3,76,9075,3,1,2
test3,77,9076,3,2,1
test3,78,9077,3,1,2
test3,79,9078,2,2,3
test3,80,9079,1,4,2
test3,81,9080,2,2,2
test3,82,9081,2,3,1
test3,83,9082,2,1,3
test3,84,9083,1,2,2
test3,85,9084,2,1,3
test3,86,9085,2,4,1
test3,87,9086,1,3,1
test3,88,9087,4,,1
test3,89,9088,3,,2
test3,90,9089,1,2,2
test3,91,9090,3,,3
test3,92,9091,3,,2
test3,93,9092,2,2,1
test3,94,9093,3,,1
test3,95,9094,2,1,2
test3,96,9095,3,,1
test3,97,9096,2,1,3
test3,98,9097,3,1,1
test3,99,9098,1,1,4
test3,100,9099,1,1,3
test4,1,4100,5,2,12
test4,2,4101,5,3,14
test4,3,4102,3,5,14
test4,4,4103,5,4,11
test4,5,4104,4,8,7
test4,6,4105,2,8,10
test4,7,4106,4,8,11
test4,8,4107,3,8,14
test4,9,4108,2,7,16
test4,10,4109,3,7,17
test4,11,4110,3,3,18
test4,12,4111,4,6,14
test4,13,4112,4,4,9
test4,14,4113,3,6,12
test4,15,4114,5,3,10
test4,16,4115,3,4,13
test4,17,4116,1,6,14
test4,18,4117,3,3,15
test4,19,4118,3,3,17
test4,20,4119,2,4,16
test4,21,4120,5,3,12
test4,22,4121,4,3,13
test4,23,4122,4,3,14
test4,24,4123,2,7,13
test4,25,4124,2,5,12
test4,26,4125,3,3,12
test4,27,4126,2,5,17
test4,28,4127,2,2,15
test4,29,4128,2,0,17
test4,30,4129,2,2,15
test4,31,4130,2,3,14
test4,32,4131,2,4,16
test4,33,4132,2,3,13
test4,34,4133,3,2,12
test4,35,4134,3,3,12
test4,36,4135,3,5,10
test4,37,4136,3,6,5
test4,38,4137,2,5,11
test4,39,4138,3,6,7
test4,40,4139,4,5,9
